,dif_min,atraso_15,temporada_alta,periodo_dia
0,3,0,1,19:00 a 4:59
1,9,0,1,19:00 a 4:59
2,9,0,1,19:00 a 4:59
3,3,0,0,19:00 a 4:59
4,-2,0,0,19:00 a 4:59
5,41794,1,0,19:00 a 4:59
6,-5,0,0,19:00 a 4:59
7,-5,0,0,19:00 a 4:59
8,41800,1,0,19:00 a 4:59
9,41829,1,0,19:00 a 4:59
10,-9,0,1,19:00 a 4:59
11,14,0,1,19:00 a 4:59
12,-7,0,1,19:00 a 4:59
13,-4,0,1,19:00 a 4:59
14,-11,0,1,19:00 a 4:59
15,-9,0,1,19:00 a 4:59
16,-9,0,1,19:00 a 4:59
17,-12,0,1,19:00 a 4:59
18,15,0,1,19:00 a 4:59
19,-2,0,1,19:00 a 4:59
20,2,0,1,19:00 a 4:59
21,8,0,0,19:00 a 4:59
22,-5,0,0,19:00 a 4:59
23,52,1,0,19:00 a 4:59
24,-5,0,0,19:00 a 4:59
25,0,0,0,19:00 a 4:59
26,26,1,0,19:00 a 4:59
27,-3,0,0,19:00 a 4:59
28,-5,0,0,19:00 a 4:59
29,2,0,0,19:00 a 4:59
30,2,0,1,19:00 a 4:59
31,-7,0,1,19:00 a 4:59
32,-1,0,1,19:00 a 4:59
33,5,0,1,19:00 a 4:59
34,-4,0,1,19:00 a 4:59
35,1,0,1,19:00 a 4:59
36,-5,0,1,19:00 a 4:59
37,3,0,1,19:00 a 4:59
38,-2,0,1,19:00 a 4:59
39,-4,0,1,19:00 a 4:59
40,-6,0,1,19:00 a 4:59
41,4,0,1,19:00 a 4:59
42,-4,0,1,19:00 a 4:59
43,-4,0,1,19:00 a 4:59
44,-9,0,1,19:00 a 4:59
45,-10,0,1,19:00 a 4:59
46,0,0,1,19:00 a 4:59
47,-2,0,1,19:00 a 4:59
48,1,0,1,19:00 a 4:59
49,-4,0,1,19:00 a 4:59
50,10,0,1,19:00 a 4:59
51,20,1,0,19:00 a 4:59
52,11,0,0,19:00 a 4:59
53,24,1,0,19:00 a 4:59
54,-5,0,0,19:00 a 4:59
55,-7,0,0,19:00 a 4:59
56,14,0,0,19:00 a 4:59
57,5,0,0,19:00 a 4:59
58,0,0,0,19:00 a 4:59
59,25,1,0,19:00 a 4:59
60,1,0,1,19:00 a 4:59
61,0,0,1,19:00 a 4:59
62,-4,0,1,19:00 a 4:59
63,13,0,1,19:00 a 4:59
64,-3,0,1,19:00 a 4:59
65,2,0,1,19:00 a 4:59
66,-5,0,1,19:00 a 4:59
67,0,0,1,19:00 a 4:59
68,-2,0,1,19:00 a 4:59
69,3,0,1,19:00 a 4:59
70,-9,0,1,19:00 a 4:59
71,5,0,1,19:00 a 4:59
72,-3,0,1,19:00 a 4:59
73,-4,0,1,19:00 a 4:59
74,-10,0,1,19:00 a 4:59
75,-9,0,1,19:00 a 4:59
76,62,1,1,19:00 a 4:59
77,2,0,1,19:00 a 4:59
78,-8,0,1,19:00 a 4:59
79,19,1,1,12:00 a 18:59
80,60,1,1,12:00 a 18:59
81,17,1,1,12:00 a 18:59
82,26,1,0,12:00 a 18:59
83,14,0,0,12:00 a 18:59
